Year | Female (%) | Male (%)
------------------------------
1960.0 | 30.66 | 69.34
1961.0 | 30.66 | 69.34
1962.0 | 31.26 | 68.74
1963.0 | 31.34 | 68.66
1964.0 | 31.28 | 68.72
1965.0 | 30.30 | 69.70
1966.0 | 30.05 | 69.95
1967.0 | 30.10 | 69.90
1968.0 | 30.28 | 69.72
1969.0 | 30.70 | 69.30
1970.0 | 31.10 | 68.90
1971.0 | 31.22 | 68.78
1972.0 | 30.98 | 69.02
1973.0 | 30.43 | 69.57
1974.0 | 30.43 | 69.57
1975.0 | 30.53 | 69.47
1976.0 | 30.96 | 69.04
1977.0 | 31.24 | 68.76
1978.0 | 30.92 | 69.08
1979.0 | 30.84 | 69.16
1980.0 | 30.04 | 69.96
1981.0 | 30.57 | 69.43
1982.0 | 31.04 | 68.96
1983.0 | 32.24 | 67.76
1984.0 | 32.32 | 67.68
1985.0 | 32.45 | 67.55
1986.0 | 31.85 | 68.15
1987.0 | 31.98 | 68.02
1988.0 | 31.94 | 68.06
1989.0 | 32.04 | 67.96
1990.0 | 32.10 | 67.90
1991.0 | 32.03 | 67.97
1992.0 | 32.72 | 67.28
1993.0 | 33.08 | 66.92
1994.0 | 33.70 | 66.30
1995.0 | 33.54 | 66.46
1996.0 | 33.68 | 66.32
1997.0 | 33.96 | 66.04
1998.0 | 34.41 | 65.59
1999.0 | 34.97 | 65.03
2000.0 | 34.71 | 65.29
2001.0 | 34.72 | 65.28
2002.0 | 34.16 | 65.84
2003.0 | 34.34 | 65.66
2004.0 | 34.75 | 65.25
2005.0 | 35.22 | 64.78
2006.0 | 35.89 | 64.11
2007.0 | 35.83 | 64.17
2008.0 | 35.94 | 64.06
2009.0 | 35.49 | 64.51
2010.0 | 35.58 | 64.42
2011.0 | 35.64 | 64.36
2012.0 | 34.09 | 65.91
2013.0 | 36.06 | 63.94
2014.0 | 28.79 | 71.21
2015.0 | 29.76 | 70.24
