Character Trope	Actor Gender	Count
absent_minded_professor	M	4
adventurer_archaeologist	F	1
adventurer_archaeologist	M	3
arrogant_kungfu_guy	F	1
arrogant_kungfu_guy	M	8
big_man_on_campus	M	7
bounty_hunter	M	10
brainless_beauty	F	7
brainless_beauty	M	5
broken_bird	F	4
broken_bird	M	1
bromantic_foil	M	5
bruiser_with_a_soft_center	M	3
bully	F	1
bully	M	2
byronic_hero	M	17
casanova	M	7
chanteuse	F	6
charmer	M	7
child_prodigy	M	2
classy_cat_burglar	F	1
consummate_professional	M	4
corrupt_corporate_executive	M	23
coward	M	6
crazy_jealous_guy	M	25
crazy_survivalist	M	3
cultured_badass	M	8
dean_bitterman	M	4
dirty_cop	M	7
ditz	F	1
ditz	M	6
doormat	F	1
doormat	M	3
drill_sargeant_nasty	M	6
dumb_blonde	F	10
dumb_blonde	M	1
dumb_muscle	M	4
eccentric_mentor	F	2
eccentric_mentor	M	3
egomaniac_hunter	M	7
evil_prince	M	7
fastest_gun_in_the_west	M	7
father_to_his_men	M	15
final_girl	F	6
gadgeteer_genius	M	7
gentleman_thief	M	6
granola_person	F	4
granola_person	M	4
grumpy_old_man	M	5
hardboiled_detective	M	8
heartbroken_badass	F	1
heartbroken_badass	M	6
henpecked_husband	M	5
hitman_with_a_heart	M	10
jerk_jock	M	9
junkie_prophet	F	2
klutz	F	1
klutz	M	1
loser_protagonist	M	6
loveable_rogue	M	9
master_swordsman	M	12
morally_bankrupt_banker	M	3
officer_and_a_gentleman	M	4
ophelia	F	5
playful_hacker	M	5
prima_donna	F	6
psycho_for_hire	M	16
pupil_turned_to_evil	M	2
retired_outlaw	M	6
revenge	M	6
romantic_runnerup	M	6
self_made_man	M	3
slacker	F	2
slacker	M	9
stoner	M	13
storyteller	F	1
storyteller	M	3
stupid_crooks	M	5
surfer_dude	M	9
the_chief	M	3
the_editor	M	2
tranquil_fury	M	7
trickster	M	5
valley_girl	F	6
warrior_poet	M	9
young_gun	M	6
